MyUniID,NS1,refCoupNum,coup1,coup2,coup3,interviewDt
1617,7,51002,51016,51017,51018,1583946929000
1646,8,6032,71072,71071,71070,1584979409000
1656,10,51016,71021,71020,71019,1584013585000
1658,11,6046,NA,NA,NA,1585673134000
1665,30,51018,71036,71035,71034,1584281524000
1702,6,NA,71009,71007,71008,1583772965000
1749,14,71050,71143,71142,71144,1586772288000
1817,10,51100,NA,NA,NA,1585671403000
1829,15,51159,21043,21045,21044,1586950969000
1831,10,21052,51253,51251,51252,1587485198000
1837,10,71220,51254,51255,51256,1587553913000
1854,10,71222,NA,NA,NA,1588164223000
1860,10,51166,61151,61152,61153,1587040261000
1861,5,61132,21059,21058,21060,1587311182000
1874,10,61147,21052,21053,21054,1587042609000
1885,10,6066,21041,21042,21040,1586873763000
1898,17,21015,NA,NA,NA,1586862125000
1903,16,21040,71222,71220,71221,1587477524000
1907,20,11009,61003,61002,61001,1583929577000
1908,10,51222,21086,21085,21087,1587560770000
1914,16,21031,61138,61136,61137,1586952857000
1920,10,71221,NA,NA,NA,1587992242000
1925,10,21041,NA,NA,NA,1587639937000
1930,7,61130,NA,NA,NA,1587385845000
1944,7,51171,21013,21014,21015,1586778504000
1948,15,71202,NA,NA,NA,1587990057000
1951,16,51209,71202,71204,71203,1587383592000
1990,10,51247,NA,NA,NA,1588086115000
1991,12,61139,NA,NA,NA,1587387309000
1993,15,61112,61149,61148,61150,1587036694000
2000,12,61118,61140,61141,61139,1586955406000
2016,10,21013,51209,51210,51211,1586948071000
2018,10,71186,NA,NA,NA,1587908821000
2042,5,51211,NA,NA,NA,1587646644000
2050,10,61002,71023,71024,71022,1584018118000
2057,10,71131,61131,61130,61132,1586873738000
2062,11,51178,51221,51223,51222,1587042270000
2066,10,21054,NA,NA,NA,1587563049000
2073,13,71068,6066,6065,6064,1585150325000
2076,20,NA,11009,11007,11008,1583852630000
2082,12,61198,NA,NA,NA,1587986393000
2107,15,61140,71184,71185,71186,1587035377000
2131,10,51223,51265,51263,51264,1587562124000
2136,7,21082,NA,NA,NA,1587905867000
2137,10,51182,61147,61146,61145,1586959319000
2139,10,21014,NA,NA,NA,1587298018000
2140,15,51221,51245,51246,51247,1587473550000
2165,10,51210,61197,61196,61198,1587565300000
2175,10,61150,21082,21084,21083,1587558343000
2184,10,71185,NA,NA,NA,1588164113000
2191,10,51251,NA,NA,NA,1588169822000
2213,3,6027,71060,71059,71058,1584894176000
2223,7,51006,51013,51014,51015,1583939218000
2239,6,71009,51004,51005,51006,1583856795000
2258,10,6006,51031,51032,51033,1584280381000
2259,10,71059,71101,71102,71100,1585667011000
2266,6,51013,NA,NA,NA,1584455830000
2269,7,6001,NA,NA,NA,1584540545000
2280,13,51015,6006,6004,6005,1584015768000
2288,8,71030,51057,51056,51055,1584445837000
2289,5,51057,71057,71056,71055,1584889066000
2290,5,71008,51001,51002,51003,1583841786000
2291,7,51005,6002,6001,6003,1583939408000
2296,13,71056,51122,51124,51123,1585225465000
2297,18,6005,81019,81020,81021,1584277482000
2307,6,71036,71047,71048,71046,1584536658000
2308,9,71035,6016,6017,6018,1584443170000
2312,7,6017,6051,6050,6049,1584976468000
2314,8,71047,6047,6046,6048,1584974029000
2315,11,6049,71088,71089,71090,1585226659000
2318,14,6042,71077,71078,71076,1585135951000
2333,12,71217,21079,21080,21081,1587554191000
2341,10,6051,51133,51131,51132,1585492432000
2345,11,71018,6033,6031,6032,1584619484000
2346,12,6031,71083,71084,71082,1585145004000
2355,6,6004,81042,81041,81040,1584541643000
2358,7,51004,71018,71017,71016,1583940091000
2363,6,51009,51022,51023,51024,1584015557000
2364,3,51001,51008,51007,51009,1583932755000
2402,15,31160,41216,41215,41217,1587469855000
2405,13,41208,NA,NA,NA,1587904261000
2409,10,41170,6197,6198,6196,1587562646000
2410,11,6110,NA,NA,NA,1586782071000
2413,10,41118,6109,6110,6111,1586698684000
2417,6,41011,NA,NA,NA,1584443148000
2420,9,41066,31114,31115,31116,1586267100000
2421,15,31026,41066,41065,41067,1585054920000
2426,13,31135,31160,31161,31162,1586870319000
2447,10,61036,91054,91053,91052,1586701179000
2451,10,6177,NA,NA,NA,1587478337000
2454,13,6150,41179,41180,41181,1586953400000
2458,19,81076,41113,41114,41115,1586432134000
2459,17,31159,NA,NA,NA,1587299642000
2463,19,41113,41156,41157,41155,1586860633000
2474,10,41171,NA,NA,NA,1587394367000
2481,18,6109,41150,41151,41149,1586790316000
2486,21,41172,41221,41222,41223,1587475249000
2505,16,31141,NA,NA,NA,1587298273000
2506,20,31148,31190,31191,31192,1587385018000
2508,14,31137,6148,6149,6150,1586878906000
2511,10,31115,31137,31135,31136,1586699045000
2527,11,41151,31177,31175,31176,1586959491000
2530,20,6139,41187,41186,41185,1586958306000
2538,15,31147,41188,41189,41190,1586961119000
2539,12,41190,41227,41228,41229,1587557778000
2542,11,41114,31148,31149,31147,1586783776000
2555,12,31162,6157,6158,6159,1586967535000
2559,8,41123,NA,NA,NA,1587555711000
2561,14,31161,41200,41201,41202,1587302224000
2562,5,41149,31207,31206,31205,1587472396000
2566,10,41155,6188,6189,6187,1587470775000
2573,13,31149,NA,NA,NA,1586963403000
2581,11,6122,41218,41220,41219,1587472417000
2585,15,41115,41172,41171,41170,1586877741000
2594,9,31114,NA,NA,NA,1586962811000
2596,15,41185,NA,NA,NA,1587297098000
2606,14,41181,31213,31212,31211,1587478365000
2615,11,41188,NA,NA,NA,1587307931000
2616,22,6129,NA,NA,NA,1587467201000
2620,16,31092,NA,NA,NA,1585656401000
2621,11,41065,NA,NA,NA,1585488860000
2622,13,41088,31091,31090,31092,1585571750000
2623,11,11024,NA,NA,NA,1584451103000
2630,11,31090,NA,NA,NA,1587642686000
2635,7,61020,NA,NA,NA,1584892291000
2639,6,11001,61019,61021,61020,1584373550000
2651,10,41086,NA,NA,NA,1585578770000
2653,18,6106,NA,NA,NA,1586786714000
2654,15,31102,81093,81092,81091,1586354078000
2671,14,41069,31096,31098,31097,1585665542000
2674,17,31097,NA,NA,NA,1586181939000
2675,9,41087,31102,31103,31104,1586183742000
2679,6,41008,NA,NA,NA,1584453116000
2680,5,41007,31028,31026,31027,1584460060000
2684,14,31060,NA,NA,NA,1585052680000
2685,15,81093,41124,41123,41122,1586439046000
2690,13,81017,41007,41008,41009,1584278381000
2692,6,41023,31024,31025,31023,1584449171000
2693,18,31158,31197,31196,31198,1587390560000
2694,10,41009,41024,41022,41023,1584359129000
2705,5,41018,81036,81034,81035,1584448837000
2712,7,31103,31121,31122,31120,1586353238000
2714,5,11014,NA,NA,NA,1584889608000
2715,6,31030,31062,31061,31060,1584983016000
2731,21,31009,41017,41016,41018,1584288185000
2732,12,31008,NA,NA,NA,1584982869000
2740,15,31120,41121,41120,41119,1586437087000
2742,11,81018,NA,NA,NA,1584363125000
2746,12,31027,NA,NA,NA,1584971369000
2750,14,41121,NA,NA,NA,1588073235000
2762,7,41005,11015,11014,11013,1584282664000
2769,8,61004,31009,31008,31007,1584014890000
2780,5,11015,NA,NA,NA,1584982249000
2781,6,31023,NA,NA,NA,1584884984000
2791,13,41125,NA,NA,NA,1587036118000
2795,3,41015,41040,41041,41042,1584456736000
2800,5,41022,31031,31030,31029,1584530437000
2814,5,41024,NA,NA,NA,1584445499000
2830,6,31024,31064,31063,31065,1585053140000
2838,19,81079,41111,41112,41110,1586263714000
2865,24,81035,81051,81049,81050,1584975642000
2867,4,41042,NA,NA,NA,1584540830000
2869,10,31104,41138,41137,41139,1586702123000
2874,10,41013,41054,41052,41053,1584541683000
2875,11,41053,NA,NA,NA,1585061288000
2876,5,41017,NA,NA,NA,1584544952000
2881,14,41127,41212,41213,41214,1587392801000
2884,10,41212,31219,31218,31217,1587560420000
2900,10,41001,31003,31002,31001,1583848379000
2904,5,41002,81010,81011,81012,1583848367000
2912,10,81015,NA,NA,NA,1585493107000
2913,6,81012,NA,NA,NA,1584887108000
2916,16,31047,NA,NA,NA,1585567348000
2931,7,6041,71081,71080,71079,1585142837000
2932,11,81011,81014,81015,81013,1583931011000
2935,17,31001,81016,81017,81018,1584015284000
2936,6,41010,31047,31048,31049,1584888399000
2943,21,41003,41010,41011,41012,1584282339000
2950,11,81092,6106,6107,6108,1586694249000
2952,10,81010,NA,NA,NA,1584887916000
2968,20,11022,41048,41046,41047,1584463616000
2972,15,31048,NA,NA,NA,1584984056000
2973,18,81052,NA,NA,NA,1585667544000
2978,11,41012,31011,31013,31012,1584359789000
2982,6,81029,NA,NA,NA,1587386733000
2984,8,81016,11022,11024,11023,1584290858000
2986,4,81030,NA,NA,NA,1584542873000
2987,10,31003,81029,81030,81028,1584291063000
2998,15,91124,NA,NA,NA,1587910992000
2999,12,41047,41070,41069,41068,1585059001000
3001,10,81051,41088,41087,41086,1585490217000
3005,15,31049,NA,NA,NA,1585743406000
3006,20,NA,41002,41003,41001,1583686594000
3030,16,31157,41207,41208,41206,1587382760000
3033,9,31002,41013,41014,41015,1584285857000
3038,9,6111,31180,31178,31179,1587038374000
3039,10,31051,NA,NA,NA,1585499084000
3040,5,41033,NA,NA,NA,1584620174000
3044,14,31035,81066,81065,81064,1585145104000
3045,9,31039,NA,NA,NA,1585741798000
3048,9,41097,NA,NA,NA,1585669815000
3060,9,81064,NA,NA,NA,1585221281000
3061,21,81066,NA,NA,NA,1585663481000
3074,5,61021,31036,31037,31035,1584536393000
3078,22,6178,41224,41225,41226,1587555051000
3094,100,61019,NA,NA,NA,1584446077000
3096,13,41089,41096,41097,41095,1585576309000
3097,13,31075,NA,NA,NA,1585668325000
3107,11,41079,NA,NA,NA,1585569079000
3112,12,31062,NA,NA,NA,1585218829000
3114,6,31017,NA,NA,NA,1584522068000
3118,5,61016,NA,NA,NA,1584623734000
3120,14,41096,81087,81086,81085,1586182333000
3134,12,6128,NA,NA,NA,1587907106000
3152,10,41032,41072,41073,41071,1585065898000
3153,13,31096,NA,NA,NA,1586262859000
3155,6,41046,31052,31050,31051,1584891990000
3159,9,41064,NA,NA,NA,1585575977000
3162,10,31074,31085,31084,31086,1585485872000
3163,6,41048,31074,31072,31073,1585063981000
3173,15,81053,81055,81056,81057,1585051890000
3174,17,31031,NA,NA,NA,1584893214000
3181,14,81057,NA,NA,NA,1585490995000
3186,10,81013,NA,NA,NA,1584524147000
3194,10,41126,31157,31158,31159,1586869751000
3196,9,41051,NA,NA,NA,1584984444000
3231,11,81028,81054,81053,81052,1584980896000
3237,14,81054,NA,NA,NA,1585140334000
3239,10,41120,NA,NA,NA,1586790509000
3245,23,41059,41098,41099,41100,1585654234000
3250,6,31038,NA,NA,NA,1585146689000
3269,17,81065,NA,NA,NA,1586259836000
3283,14,41110,6182,6181,6183,1587391429000
3287,4,41006,NA,NA,NA,1584975623000
3301,10,41119,6127,6128,6129,1586790241000
3306,9,61013,NA,NA,NA,1584980219000
3310,10,31213,NA,NA,NA,1587641079000
3311,13,6127,6185,6186,6184,1587467320000
3313,18,81078,41125,41127,41126,1586693289000
3334,14,31095,41152,41154,41153,1586794824000
3346,7,31021,NA,NA,NA,1585491757000
3355,12,41004,41019,41021,41020,1584292574000
3362,9,41082,NA,NA,NA,1585582350000
3365,5,41020,31022,31021,31020,1584447229000
3380,11,31022,41091,41090,41089,1585497797000
3384,8,31093,41130,41128,41129,1586696276000
3395,4,41116,NA,NA,NA,1586786583000
3401,17,31105,6134,6135,6133,1586794424000
3403,11,41062,31093,31094,31095,1585658987000
3407,16,41094,81081,81079,81080,1585659076000
3410,17,41093,81076,81077,81078,1585654150000
3411,15,81081,41107,41108,41109,1586261788000
3416,15,31029,41062,41063,41064,1584962432000
3417,10,31061,NA,NA,NA,1585050635000
3418,8,41049,NA,NA,NA,1584964015000
3426,6,81001,41004,41005,41006,1584014031000
3428,16,11104,91087,91086,91085,1586878263000
3434,5,41050,NA,NA,NA,1584962996000
3435,12,41019,41049,41050,41051,1584517874000
3447,8,61015,NA,NA,NA,1584533974000
3454,21,41108,41118,41117,41116,1586434716000
3461,20,41104,NA,NA,NA,1586268164000
3465,22,41063,81071,81072,81070,1585153405000
3469,10,41021,61015,61014,61013,1584357934000
3470,6,61014,31040,31039,31038,1584543645000
3476,40,81072,41094,41093,41092,1585569802000
3489,4,41029,31034,31033,31032,1584532077000
3491,6,31032,NA,NA,NA,1584978384000
3492,5,31046,31082,31081,31083,1585154713000
3497,13,31077,NA,NA,NA,1585663762000
3511,11,41031,NA,NA,NA,1584878983000
3517,14,31034,NA,NA,NA,1584978219000
3521,8,31044,31068,31067,31066,1585054759000
3526,15,31069,NA,NA,NA,1585137863000
3529,17,NA,81009,81008,81007,1583842523000
3535,12,41081,81084,81083,81082,1586176980000
3540,10,81007,61016,61017,61018,1584362407000
3541,16,81009,41028,41029,41030,1584373406000
3542,16,41028,NA,NA,NA,1585056565000
3544,17,31040,41082,41081,41080,1585143805000
3564,13,31068,41078,41077,41079,1585138907000
3566,4,61018,41031,41032,41033,1584444751000
3572,21,31094,NA,NA,NA,1586189609000
3573,6,31033,31045,31046,31044,1584883142000
3579,5,81008,NA,NA,NA,1584465111000
3587,10,41202,6175,6176,6177,1587385313000
3594,12,41107,31143,31142,31141,1586708664000
3601,6,61017,NA,NA,NA,1584620745000
3621,6,6176,NA,NA,NA,1587996872000
3666,15,61158,NA,NA,NA,1587646210000
3679,7,11068,61068,61067,61069,1585141565000
3680,15,91006,61043,61044,61045,1584890719000
3682,14,11153,NA,NA,NA,1587913698000
3692,16,91004,11067,11068,11069,1584977637000
3701,10,71120,51153,51152,51154,1586353860000
3715,7,61045,61051,61049,61050,1584970941000
3723,15,51198,NA,NA,NA,1586950671000
3729,12,61068,NA,NA,NA,1585673728000
3745,19,61069,NA,NA,NA,1585585306000
3747,16,11107,11153,11152,11151,1587302002000
3757,11,11089,61093,61092,61091,1585742350000
3758,11,61104,91081,91079,91080,1586869374000
3760,15,61003,61007,61008,61009,1584013791000
3767,10,91045,91049,91050,91051,1586697657000
3768,12,91123,NA,NA,NA,1587643039000
3774,11,11040,NA,NA,NA,1584885825000
3784,10,91120,NA,NA,NA,1587903884000
3788,13,91127,NA,NA,NA,1587906765000
3803,10,91134,NA,NA,NA,1587912749000
3836,6,11002,NA,NA,NA,1584444441000
3853,13,61043,NA,NA,NA,1584981563000
3885,15,11083,NA,NA,NA,1585666728000
3908,15,11108,61162,61161,61160,1587301677000
3912,11,61067,11106,11107,11108,1586777642000
3922,9,61189,NA,NA,NA,1588246198000
3929,15,91081,91114,91113,91112,1587384534000
3930,12,91076,61187,61189,61188,1587478978000
3932,11,61180,NA,NA,NA,1587643062000
3943,15,11100,61182,61183,61181,1587385773000
3949,13,61170,91130,91131,91132,1587558909000
3950,16,91065,11165,11164,11163,1587382536000
3957,11,91073,91102,91100,91101,1587041130000
3962,12,91074,61178,61179,61180,1587383653000
3970,13,91067,61167,61168,61166,1587306794000
4006,15,41158,11150,11149,11148,1587299932000
4007,10,91099,61170,61169,61171,1587308607000
4010,18,91098,11155,11154,11156,1587304765000
4014,14,11135,61164,61165,61163,1587304611000
4025,8,61173,NA,NA,NA,1587905597000
4026,16,11134,91098,91099,91097,1587035125000
4030,22,91050,11134,11133,11135,1586950285000
4047,11,31019,NA,NA,NA,1584984609000
4060,14,91102,91109,91110,91111,1587309390000
4063,10,91111,NA,NA,NA,1588163759000
4070,10,6125,6172,6174,6173,1587383287000
4079,11,6173,NA,NA,NA,1587917721000
4080,10,11182,NA,NA,NA,1588251701000
4088,43,6126,41160,41159,41158,1586863257000
4089,11,31131,6125,6126,6124,1586785736000
4097,13,21043,71206,71207,71205,1587387290000
4129,10,31125,6164,6165,6163,1587038322000
4140,28,91051,41178,41176,41177,1586949001000
4141,20,61009,NA,NA,NA,1584446504000
4154,26,31123,41199,41198,41197,1587037754000
4158,8,81082,31123,31124,31125,1586435361000
4161,12,81083,31164,31163,31165,1586873214000
4166,11,41077,NA,NA,NA,1585741132000
4167,11,91133,NA,NA,NA,1588003245000
4188,3,91110,NA,NA,NA,1587985660000
4191,15,61165,91119,91120,91118,1587469388000
4192,13,91126,11184,11183,11182,1587559090000
4193,13,91109,91124,91125,91126,1587482576000
4203,17,11042,61036,61035,61034,1584620033000
4209,14,6165,41210,41211,41209,1587389374000
4366,10,11003,81032,81031,81033,1584445452000
4374,5,31018,31043,31042,31041,1584548382000
4380,10,91117,NA,NA,NA,1588073570000
4381,19,61179,11176,11177,11178,1587477494000
4382,6,31037,31058,31057,31056,1584972816000
4385,9,NA,81003,81002,81001,1583686192000
4423,10,61166,61172,61173,61174,1587380120000
